TestHeaderID,Operation Name,StepID,Parameter Name,Value,Units,Min Limit,Max Limit
38206780,Glue Optic M514,None,START TIME,2023-07-19 21:36:40,,,
38206780,Glue Optic M514,None,END TIME,2023-07-19 21:45:57,,,
38206780,Glue Optic M514,None,OPERATOR,79366,,,
38206780,Glue Optic M514,None,STATION,350R6Z2,,,
38206780,Glue Optic M514,45838182,Jig,N,None,None,None
38206780,Glue Optic M514,45838182,Pick_up_Height_Offset,-4,None,None,None
38206780,Glue Optic M514,45838182,Distance_to_Sensor,850,None,None,None
38206780,Glue Optic M514,45838182,Amp3_D1__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Y,37.233,None,None,None
38206780,Glue Optic M514,45838182,Gain_Code,1,None,None,None
38206780,Glue Optic M514,45838182,Amp4_D3__A_,0,None,None,None
38206780,Glue Optic M514,45838182,RX,0.029,None,None,None
38206780,Glue Optic M514,45838182,RY,0.027,None,None,None
38206780,Glue Optic M514,45838182,RZ,-46.808,None,None,None
38206780,Glue Optic M514,45838182,PoD_Div_,0,None,None,None
38206780,Glue Optic M514,45838182,Optic Name,M514,None,None,None
38206780,Glue Optic M514,45838182,Amp4_D2__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Mount_Type,tower,None,None,None
38206780,Glue Optic M514,45838182,Optic_Type,mirror,None,None,None
38206780,Glue Optic M514,45838182,Seeder_D__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Amp3_D2__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Amp2_D__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Pick_up_Orentation,B,None,None,None
38206780,Glue Optic M514,45838182,Carrier_Index,0,None,None,None
38206780,Glue Optic M514,45838182,X,412.346,None,None,None
38206780,Glue Optic M514,45838182,Z,-1.77,None,None,None
38206780,Glue Optic M514,45838182,Sidemount_Side,C,None,None,None
38206780,Glue Optic M514,45838182,Amp1_D__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Optimization_Type,jdppx,None,None,None
38206780,Glue Optic M514,45838182,Glue_Gap__mm_,0.07,None,None,None
38206780,Glue Optic M514,45838182,Amp3_D3__A_,0,None,None,None
38206780,Glue Optic M514,45838182,PoD_Rel_P____,0,None,None,None
38206780,Glue Optic M514,45838182,Rigol__A_,0,None,None,None
38206780,Glue Optic M514,45838182,Amp4_D1__A_,0,None,None,None
38206384,Glue Optic M514,None,START TIME,2023-07-19 21:21:16,,,
38206384,Glue Optic M514,None,END TIME,2023-07-19 21:32:59,,,
38206384,Glue Optic M514,None,OPERATOR,79366,,,
38206384,Glue Optic M514,None,STATION,350R6Z2,,,
38206384,Glue Optic M514,45837320,Tool Length,115.545,um,114,118
38206384,Glue Optic M514,45837322,Numeric,7566,None,None,None
38206384,Glue Optic M514,45837323,RX,0.0721,deg,None,None
38206384,Glue Optic M514,45837323,RY,0.1476,deg,None,None
38206384,Glue Optic M514,45837323,RZ,-46.6993,deg,None,None
38206384,Glue Optic M514,45837323,Y,37.2337,mm,None,None
38206384,Glue Optic M514,45837323,X,412.3763,mm,None,None
38206384,Glue Optic M514,45837323,Z,-1.84,mm,-2.77,-0.77
38206780,Glue Optic M514,45838191,Tool Length,115.535,um,114,118
38206780,Glue Optic M514,45838193,Numeric,7668,None,None,None
38206780,Glue Optic M514,45838194,RX,0.0612,deg,None,None
38206780,Glue Optic M514,45838194,RY,0.1816,deg,None,None
38206780,Glue Optic M514,45838194,RZ,-46.716,deg,None,None
38206780,Glue Optic M514,45838194,Y,37.2337,mm,None,None
38206780,Glue Optic M514,45838194,X,412.1459,mm,None,None
38206780,Glue Optic M514,45838194,Z,-1.84,mm,-2.77,-0.77
38206384,Glue Optic M514,45837333,RX,0.0721,deg,-0.971,1.029
38206384,Glue Optic M514,45837333,RY,0.1476,deg,-0.973,1.027
38206384,Glue Optic M514,45837333,RZ,-46.6993,deg,-48.808,-44.808
38206384,Glue Optic M514,45837333,Y,37.2337,mm,34.233,40.233
38206384,Glue Optic M514,45837333,X,412.3763,mm,409.346,415.346
38206384,Glue Optic M514,45837333,Z,-1.84,mm,-2.77,-0.77
38206780,Glue Optic M514,45838204,RX,0.0612,deg,-0.971,1.029
38206780,Glue Optic M514,45838204,RY,0.1816,deg,-0.973,1.027
38206780,Glue Optic M514,45838204,RZ,-46.716,deg,-48.808,-44.808
38206780,Glue Optic M514,45838204,Y,37.2337,mm,34.233,40.233
38206780,Glue Optic M514,45838204,X,412.1459,mm,409.346,415.346
38206780,Glue Optic M514,45838204,Z,-1.84,mm,-2.77,-0.77
38206384,Glue Optic M514,45837311,Jig,N,None,None,None
38206384,Glue Optic M514,45837311,Pick_up_Height_Offset,-4,None,None,None
38206384,Glue Optic M514,45837311,Distance_to_Sensor,850,None,None,None
38206384,Glue Optic M514,45837311,Amp3_D1__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Y,37.233,None,None,None
38206384,Glue Optic M514,45837311,Gain_Code,1,None,None,None
38206384,Glue Optic M514,45837311,Amp4_D3__A_,0,None,None,None
38206384,Glue Optic M514,45837311,RX,0.029,None,None,None
38206384,Glue Optic M514,45837311,RY,0.027,None,None,None
38206384,Glue Optic M514,45837311,RZ,-46.808,None,None,None
38206384,Glue Optic M514,45837311,PoD_Div_,0,None,None,None
38206384,Glue Optic M514,45837311,Optic Name,M514,None,None,None
38206384,Glue Optic M514,45837311,Amp4_D2__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Mount_Type,tower,None,None,None
38206384,Glue Optic M514,45837311,Optic_Type,mirror,None,None,None
38206384,Glue Optic M514,45837311,Seeder_D__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Amp3_D2__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Amp2_D__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Pick_up_Orentation,B,None,None,None
38206384,Glue Optic M514,45837311,Carrier_Index,0,None,None,None
38206384,Glue Optic M514,45837311,X,412.346,None,None,None
38206384,Glue Optic M514,45837311,Z,-1.77,None,None,None
38206384,Glue Optic M514,45837311,Sidemount_Side,C,None,None,None
38206384,Glue Optic M514,45837311,Amp1_D__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Optimization_Type,jdppx,None,None,None
38206384,Glue Optic M514,45837311,Glue_Gap__mm_,0.07,None,None,None
38206384,Glue Optic M514,45837311,Amp3_D3__A_,0,None,None,None
38206384,Glue Optic M514,45837311,PoD_Rel_P____,0,None,None,None
38206384,Glue Optic M514,45837311,Rigol__A_,0,None,None,None
38206384,Glue Optic M514,45837311,Amp4_D1__A_,0,None,None,None
